==== QLoRA Profiler 结果（按 CUDA 总耗时排序，前 30 项） ====

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       forward_backward         0.00%       0.000us         0.00%       0.000us       0.000us        2.721s        69.69%        2.721s     143.190ms           0 B           0 B           0 B           0 B            19  
                                               aten::mm         4.87%     628.778ms         7.37%     951.439ms      32.013us        2.354s        60.28%        2.371s      79.781us           0 B           0 B     160.27 GB     160.27 GB         29720  
autograd::engine::evaluate_function: CheckpointFunct...         0.03%       4.016ms        38.84%        5.013s       8.951ms       0.000us         0.00%        2.261s       4.038ms           0 B           0 B      -5.99 GB     -12.89 GB           560  
                             CheckpointFunctionBackward         6.57%     847.833ms        38.81%        5.009s       8.944ms       0.000us         0.00%        2.261s       4.038ms           0 B      17.50 KB       6.90 GB    -249.47 GB           560  
                                           aten::matmul         0.89%     115.479ms         7.51%     968.915ms      46.672us       0.000us         0.00%        2.104s     101.347us           0 B           0 B     133.38 GB           0 B         20760  
                                           aten::linear         0.31%      39.674ms         6.87%     886.949ms      52.732us       0.000us         0.00%        1.526s      90.755us           0 B           0 B     104.91 GB           0 B         16820  
                                       forward_backward        39.33%        5.076s        59.35%        7.659s     382.958ms       0.000us         0.00%        1.437s      71.848ms     138.69 KB      -2.57 MB     900.11 MB     -26.25 GB            20  
                                             MatMul4Bit         2.96%     381.603ms        12.34%        1.593s     203.184us       0.000us         0.00%        1.416s     180.621us           0 B           0 B      59.71 GB    -219.05 GB          7840  
                                     CheckpointFunction         3.64%     470.151ms        18.65%        2.407s       4.298ms       0.000us         0.00%        1.157s       2.066ms       2.71 MB       2.71 MB       6.56 GB    -353.93 GB           560  
